 authid |   name    |                                      name                                       | count 
   4040 | Wei Liu   | EMEIT                                                                           |     4
   4040 | Wei Liu   | IPDPS                                                                           |     1
   4040 | Wei Liu   | SEAMS                                                                           |     1
  21694 | Yan Zhang | FTfJP@ECOOP                                                                     |     1
   4040 | Wei Liu   | HCI (12)                                                                        |     1
   6036 | Wei Wang  | WHICEB                                                                          |     1
   4040 | Wei Liu   | Language Resources and Evaluation                                               |     1
  21694 | Yan Zhang | WWW                                                                             |     1
  21694 | Yan Zhang | CIS                                                                             |     1
   6036 | Wei Wang  | Journal of Intelligent and Robotic Systems                                      |     1
   6036 | Wei Wang  | IJWMIP                                                                          |     1
  21694 | Yan Zhang | I. J. Network Security                                                          |     5
   6036 | Wei Wang  | IEEE Transactions on Information Forensics and Security                         |     2
   6036 | Wei Wang  | Appl. Soft Comput.                                                              |     2
   6036 | Wei Wang  | BIFE                                                                            |     2
   4040 | Wei Liu   | CIDM                                                                            |     1
   4040 | Wei Liu   | Mach. Vis. Appl.                                                                |     1
   4040 | Wei Liu   | CEC                                                                             |     2
   4040 | Wei Liu   | IEEE ICCI                                                                       |     1
   6036 | Wei Wang  | IJCAT                                                                           |     2
   4040 | Wei Liu   | IEEE Trans. on Circuits and Systems                                             |     1
   4040 | Wei Liu   | IEEE Transactions on Intelligent Transportation Systems                         |     2
   6036 | Wei Wang  | ICCV                                                                            |     2
   4040 | Wei Liu   | Neurocomputing                                                                  |    10
  21694 | Yan Zhang | CCCV (1)                                                                        |     1
   4040 | Wei Liu   | Microelectronics Journal                                                        |     1
   4040 | Wei Liu   | Data Min. Knowl. Discov.                                                        |     1
  21694 | Yan Zhang | IEEE Communications Magazine                                                    |     9
   4040 | Wei Liu   | German Conference on Bioinformatics                                             |     1
   4040 | Wei Liu   | ACIIDS (2)                                                                      |     1
  21694 | Yan Zhang | ISCC                                                                            |     1
   4040 | Wei Liu   | J. Network and Computer Applications                                            |     2
   6036 | Wei Wang  | IEEE MS                                                                         |     1
  21694 | Yan Zhang | PDCAT                                                                           |     2
   6036 | Wei Wang  | NCA                                                                             |     1
   6036 | Wei Wang  | JECO                                                                            |     1
  21694 | Yan Zhang | IEEE Transactions on Industrial Electronics                                     |     1
   4040 | Wei Liu   | HCI (19)                                                                        |     1
  21694 | Yan Zhang | KSEM                                                                            |     1
   6036 | Wei Wang  | AVBPA                                                                           |     1
  21694 | Yan Zhang | SIGMETRICS                                                                      |     1
   4040 | Wei Liu   | COMPSAC                                                                         |     1
   4040 | Wei Liu   | CVPR                                                                            |    13
   6036 | Wei Wang  | J. Real-Time Image Processing                                                   |     1
   4040 | Wei Liu   | Computer-Aided Design                                                           |     2
   4040 | Wei Liu   | ICML                                                                            |     3
  21694 | Yan Zhang | IJSSE                                                                           |     1
  21694 | Yan Zhang | ILPS                                                                            |     1
  21694 | Yan Zhang | WOCC                                                                            |     1
   6036 | Wei Wang  | APSCC                                                                           |     3
   4040 | Wei Liu   | ICOIN                                                                           |     1
  21694 | Yan Zhang | J. Vis. Lang. Comput.                                                           |     1
   4040 | Wei Liu   | ISCAS (4)                                                                       |     1
   6036 | Wei Wang  | J. Inf. Sci. Eng.                                                               |     1
   4040 | Wei Liu   | Mobile HCI                                                                      |     1
   6036 | Wei Wang  | PolTAL                                                                          |     1
  21694 | Yan Zhang | ICWI                                                                            |     1
  21694 | Yan Zhang | ICMLC                                                                           |     5
   4040 | Wei Liu   | CSSP                                                                            |     1
  21694 | Yan Zhang | Eurographics (Medical Prize)                                                    |     1
  21694 | Yan Zhang | PST                                                                             |     1
   6036 | Wei Wang  | CATA                                                                            |     1
   6036 | Wei Wang  | BIBM                                                                            |     9
  21694 | Yan Zhang | DSD                                                                             |     1
   6036 | Wei Wang  | CCBR                                                                            |     1
   6036 | Wei Wang  | Journal of Multimedia                                                           |     2
   6036 | Wei Wang  | MobiCom                                                                         |     2
   4040 | Wei Liu   | ACM Comput. Surv.                                                               |     1
   6036 | Wei Wang  | ICC Workshops                                                                   |     1
  21694 | Yan Zhang | J. Sensors                                                                      |     1
   4040 | Wei Liu   | CSIE (5)                                                                        |     1
  21694 | Yan Zhang | Wireless Networks                                                               |     1
   6036 | Wei Wang  | J. Comput. Meth. in Science and Engineering                                     |     1
   4040 | Wei Liu   | NeuroImage                                                                      |     1
   4040 | Wei Liu   | FSKD (2)                                                                        |     2
  21694 | Yan Zhang | ISSCC                                                                           |     3
   6036 | Wei Wang  | CloudCom                                                                        |     1
   6036 | Wei Wang  | Int. J. Computer Integrated Manufacturing                                       |     2
  21694 | Yan Zhang | Neural Computing and Applications                                               |     1
   6036 | Wei Wang  | CSIE (6)                                                                        |     2
   6036 | Wei Wang  | APWeb/WAIM Workshops                                                            |     2
   4040 | Wei Liu   | The Journal of Supercomputing                                                   |     1
   4040 | Wei Liu   | Communications in Statistics - Simulation and Computation                       |     1
   6036 | Wei Wang  | IEEE Trans. Computers                                                           |     3
   4040 | Wei Liu   | ISICA (1)                                                                       |     1
   4040 | Wei Liu   | ICSC                                                                            |     1
   4040 | Wei Liu   | ECCV (2)                                                                        |     1
   4040 | Wei Liu   | Multimedia Tools Appl.                                                          |     1
   6036 | Wei Wang  | Winter Simulation Conference                                                    |     2
  21694 | Yan Zhang | MCAM                                                                            |     1
   6036 | Wei Wang  | ICARCV                                                                          |     2
   4040 | Wei Liu   | European Journal of Operational Research                                        |     1
  21694 | Yan Zhang | FGCN (2)                                                                        |     1
   6036 | Wei Wang  | International Journal of Geographical Information Science                       |     2
   6036 | Wei Wang  | ACM Trans. Design Autom. Electr. Syst.                                          |     1
   4040 | Wei Liu   | SOCASE                                                                          |     1
   4040 | Wei Liu   | ENTER                                                                           |     1
  21694 | Yan Zhang | ICPADS                                                                          |     1
   6036 | Wei Wang  | NEMS                                                                            |    19
   4040 | Wei Liu   | Brain Connectivity                                                              |     1
   6036 | Wei Wang  | Frontiers of Computer Science in China                                          |     2
  21694 | Yan Zhang | IEEE T. Geoscience and Remote Sensing                                           |     6
   6036 | Wei Wang  | IEEE Signal Process. Lett.                                                      |     3
   4040 | Wei Liu   | ICDM                                                                            |     3
   6036 | Wei Wang  | ICYCS                                                                           |     3
   4040 | Wei Liu   | GPC                                                                             |     1
   4040 | Wei Liu   | GreenCom/iThings/CPScom                                                         |     1
   4040 | Wei Liu   | ICASSP (5)                                                                      |     2
  21694 | Yan Zhang | CASoN                                                                           |     1
   4040 | Wei Liu   | SenSys                                                                          |     1
   4040 | Wei Liu   | ACL (2)                                                                         |     1
   4040 | Wei Liu   | ISCAS                                                                           |     3
  21694 | Yan Zhang | IEEE Wireless Commun. Letters                                                   |     2
   4040 | Wei Liu   | AAAI                                                                            |     7
   4040 | Wei Liu   | International Journal of Information Technology and Decision Making             |     1
   6036 | Wei Wang  | IEEE Access                                                                     |     1
   6036 | Wei Wang  | CIKM                                                                            |     5
  21694 | Yan Zhang | CIT (2)                                                                         |     2
  21694 | Yan Zhang | ICAT Workshops                                                                  |     1
   6036 | Wei Wang  | BIC-TA                                                                          |     2
  21694 | Yan Zhang | COMPSAC (1)                                                                     |     2
  21694 | Yan Zhang | ACIS-ICIS                                                                       |     2
  21694 | Yan Zhang | ISMIS                                                                           |     8
  21694 | Yan Zhang | Signal Processing                                                               |     1
   6036 | Wei Wang  | IbPRIA (2)                                                                      |     1
  21694 | Yan Zhang | Artif. Intell.                                                                  |     6
  21694 | Yan Zhang | IScIDE                                                                          |     2
   6036 | Wei Wang  | IEICE Electronic Express                                                        |     3
   4040 | Wei Liu   | TrustCom                                                                        |     1
  21694 | Yan Zhang | IEEE Trans. on CAD of Integrated Circuits and Systems                           |     1
   4040 | Wei Liu   | ISCA                                                                            |     1
  21694 | Yan Zhang | SIGIR Forum                                                                     |     1
  21694 | Yan Zhang | ESIAT (2)                                                                       |     1
  21694 | Yan Zhang | IEEE Network                                                                    |    11
   4040 | Wei Liu   | IEEE Trans. Circuits Syst. Video Techn.                                         |     2
  21694 | Yan Zhang | FGCN (1)                                                                        |     3
   4040 | Wei Liu   | FUSION                                                                          |     1
   6036 | Wei Wang  | HICSS                                                                           |     1
   4040 | Wei Liu   | Australian Conference on Artificial Intelligence                                |     1
  21694 | Yan Zhang | ACM Transactions on Algorithms                                                  |     1
   6036 | Wei Wang  | CSC                                                                             |     1
  21694 | Yan Zhang | FSKD                                                                            |    10
   4040 | Wei Liu   | CCECE                                                                           |     2
   4040 | Wei Liu   | J. Electrical and Computer Engineering                                          |     1
   4040 | Wei Liu   | T. Large-Scale Data- and Knowledge-Centered Systems                             |     1
  21694 | Yan Zhang | IJDSN                                                                           |     4
   4040 | Wei Liu   | ROBIO                                                                           |    11
  21694 | Yan Zhang | ICICS                                                                           |     2
   6036 | Wei Wang  | JSEA                                                                            |     2
   6036 | Wei Wang  | ICNP                                                                            |     2
   6036 | Wei Wang  | ICIP                                                                            |    14
   6036 | Wei Wang  | TKDD                                                                            |     1
   4040 | Wei Liu   | iJOE                                                                            |     1
   6036 | Wei Wang  | WKDD                                                                            |     1
   4040 | Wei Liu   | ICTAI                                                                           |     1
   6036 | Wei Wang  | CDVE                                                                            |     2
  21694 | Yan Zhang | TRETS                                                                           |     1
  21694 | Yan Zhang | IMSCCS                                                                          |     1
  21694 | Yan Zhang | Journal of Chemical Information and Modeling                                    |     1
   4040 | Wei Liu   | CICLing (1)                                                                     |     2
   4040 | Wei Liu   | DIMEA                                                                           |     2
  21694 | Yan Zhang | JCDL                                                                            |     3
  21694 | Yan Zhang | CLUSTER                                                                         |     2
  21694 | Yan Zhang | BigData Congress                                                                |     1
  21694 | Yan Zhang | IAS (1)                                                                         |     1
   6036 | Wei Wang  | IEEE T. Vehicular Technology                                                    |     5
  21694 | Yan Zhang | Peer-to-Peer Networking and Applications                                        |     1
   6036 | Wei Wang  | AMT                                                                             |     1
   4040 | Wei Liu   | MBIA                                                                            |     2
   6036 | Wei Wang  | IEEE Trans. VLSI Syst.                                                          |     1
   4040 | Wei Liu   | VTC Spring                                                                      |    15
   4040 | Wei Liu   | Journal of Interconnection Networks                                             |     1
   6036 | Wei Wang  | Decision Support Systems                                                        |     1
  21694 | Yan Zhang | ICAIC (1)                                                                       |     2
   4040 | Wei Liu   | ISVC (2)                                                                        |     2
   4040 | Wei Liu   | WCSP                                                                            |     1
   4040 | Wei Liu   | WiMob                                                                           |     1
  21694 | Yan Zhang | WAIM                                                                            |     6
   4040 | Wei Liu   | Inf. Syst. J.                                                                   |     1
   4040 | Wei Liu   | Inf. Syst.                                                                      |     1
  21694 | Yan Zhang | EUC                                                                             |     1
   6036 | Wei Wang  | CIT                                                                             |     2
   4040 | Wei Liu   | TREC                                                                            |     1
   4040 | Wei Liu   | FUZZ-IEEE                                                                       |     2
   6036 | Wei Wang  | JCP                                                                             |     6
   6036 | Wei Wang  | SiPS                                                                            |     1
